bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
707.0,12,2787,7.199999999999999,1672.2,4.800000000000001,1114.8,116.125,232.25,46.45,348.375,58.916666666666664,17.674999999999997,0.1,707.0,1,11,0,1,6
897.0,21,3959,12.6,2375.4,8.4,1583.6000000000001,94.26,188.52,37.704,282.78000000000003,42.714285714285715,12.814285714285715,0.1,897.0,1,20,0,1,10
859.0,11,5134,6.6,3080.4,4.4,2053.6,233.365,466.73,93.346,700.095,78.0909090909091,23.427272727272726,0.1,859.0,1,10,0,1,5
417.0,12,2794,7.199999999999999,1676.3999999999999,4.800000000000001,1117.6000000000001,116.415,232.83,46.566,349.245,34.75,10.424999999999999,0.1,417.0,1,11,0,1,6
557.0,13,3417,7.8,2050.2,5.2,1366.8000000000002,131.425,262.85,52.57000000000001,394.27500000000003,42.84615384615385,12.853846153846154,0.1,557.0,1,12,0,1,6
756.0,13,3417,7.8,2050.2,5.2,1366.8000000000002,131.425,262.85,52.57000000000001,394.27500000000003,58.15384615384615,17.446153846153845,0.1,756.0,1,12,0,1,6
679.0,10,5130,6.0,3078.0,4.0,2052.0,256.5,513.0,102.60000000000001,769.5,67.9,20.37,0.1,679.0,1,9,0,1,5
735.0,12,5700,7.199999999999999,3420.0,4.800000000000001,2280.0,237.5,475.0,95.0,712.5,61.25,18.375,0.1,735.0,1,11,0,1,6
14958.0,11,1246,6.6,747.6,4.4,498.40000000000003,56.635,113.27,22.654,169.905,1359.8181818181818,407.94545454545454,0.1,14958.0,1,10,0,1,5
495.0,11,2650,6.6,1590.0,4.4,1060.0,120.455,240.91,48.182,361.365,45.0,13.5,0.1,495.0,1,10,0,1,5
518.0,11,4553,6.6,2731.7999999999997,4.4,1821.2,206.955,413.91,82.78200000000001,620.865,47.09090909090909,14.127272727272727,0.1,518.0,1,10,0,1,5
1.0,2,190,1.2,114.0,0.8,76.0,47.5,95.0,19.0,142.5,0.5,0.15,0.1,1.0,0,1,0,0,1
58.0,2,234,1.2,140.4,0.8,93.60000000000001,58.5,117.0,23.400000000000002,175.5,29.0,8.7,0.1,58.0,0,1,0,0,1
427.0,12,1412,7.199999999999999,847.1999999999999,4.800000000000001,564.8000000000001,58.835,117.67,23.534000000000002,176.505,35.583333333333336,10.675,0.1,427.0,1,11,0,1,6
329.0,11,4035,6.6,2421.0,4.4,1614.0,183.41,366.82,73.364,550.23,29.90909090909091,8.972727272727273,0.1,329.0,1,10,0,1,5
2.0,2,266,1.2,159.6,0.8,106.4,66.5,133.0,26.6,199.5,1.0,0.3,0.1,2.0,0,1,0,0,1
1292.0,15,3389,9.0,2033.3999999999999,6.0,1355.6000000000001,112.965,225.93,45.18600000000001,338.895,86.13333333333334,25.84,0.1,1292.0,1,14,0,1,7
1.0,2,194,1.2,116.39999999999999,0.8,77.60000000000001,48.5,97.0,19.400000000000002,145.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1.0,2,310,1.2,186.0,0.8,124.0,77.5,155.0,31.0,232.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1335.0,14,1587,8.4,952.1999999999999,5.6000000000000005,634.8000000000001,56.68,113.36,22.672,170.04,95.35714285714286,28.607142857142858,0.1,1335.0,1,13,0,1,7
1188.0,16,5947,9.6,3568.2,6.4,2378.8,185.845,371.69,74.33800000000001,557.535,74.25,22.275,0.1,1188.0,1,15,0,1,8
1.0,2,218,1.2,130.79999999999998,0.8,87.2,54.5,109.0,21.8,163.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1.0,2,214,1.2,128.4,0.8,85.60000000000001,53.5,107.0,21.400000000000002,160.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1056.0,15,3043,9.0,1825.8,6.0,1217.2,101.435,202.87,40.574000000000005,304.305,70.4,21.12,0.1,1056.0,1,14,0,1,7
1.0,1,103,0.6,61.8,0.4,41.2,51.5,103.0,20.6,154.5,1.0,0.3,0.1,1.0,0,0,0,0,0
44.0,2,230,1.2,138.0,0.8,92.0,57.5,115.0,23.0,172.5,22.0,6.6,0.1,44.0,0,1,0,0,1
2.0,2,234,1.2,140.4,0.8,93.60000000000001,58.5,117.0,23.400000000000002,175.5,1.0,0.3,0.1,2.0,0,1,0,0,1
1.0,1,151,0.6,90.6,0.4,60.400000000000006,75.5,151.0,30.200000000000003,226.5,1.0,0.3,0.1,1.0,0,0,0,0,0
1.0,1,195,0.6,117.0,0.4,78.0,97.5,195.0,39.0,292.5,1.0,0.3,0.1,1.0,0,0,0,0,0
1.0,2,402,1.2,241.2,0.8,160.8,100.5,201.0,40.2,301.5,0.5,0.15,0.1,1.0,0,1,0,0,1
922.0,12,4782,7.199999999999999,2869.2,4.800000000000001,1912.8000000000002,199.25,398.5,79.7,597.75,76.83333333333333,23.049999999999997,0.1,922.0,1,11,0,1,6
