participant_id,file,file_exists,rows,columns,numeric_features,nan_values,inf_values,finite_ratio,estimated_sequences,sections_valid,feature_variability_mean,feature_variability_median,feature_stability_score,row_quality_score,sequence_quality_score,overall_quality_score,eligible,failure_reason
232824,232824_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
449479,449479_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
403581,403581_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
368049,368049_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
191261,191261_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
429481,429481_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
200761,200761_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
195873,195873_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
212526,212526_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
318909,318909_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
13157,13157_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
295255,295255_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
166283,166283_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
424917,424917_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
248544,248544_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
459975,459975_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
146965,146965_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
419588,419588_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
314115,314115_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
21513,21513_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
136864,136864_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
163024,163024_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
12525,12525_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
508766,508766_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
355993,355993_keystrokes.txt,0,0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,feature_file_missing
