failure_reason,participants
insufficient_keystrokes(596),250
insufficient_keystrokes(597),249
insufficient_keystrokes(598),233
insufficient_keystrokes(599),223
insufficient_keystrokes(595),219
insufficient_keystrokes(593),215
insufficient_keystrokes(594),209
insufficient_keystrokes(592),200
insufficient_keystrokes(591),189
insufficient_keystrokes(589),182
insufficient_keystrokes(587),182
insufficient_keystrokes(588),178
insufficient_keystrokes(584),178
insufficient_keystrokes(590),178
insufficient_keystrokes(583),168
insufficient_keystrokes(586),167
insufficient_keystrokes(582),146
insufficient_keystrokes(585),143
insufficient_keystrokes(581),135
insufficient_keystrokes(576),132
insufficient_keystrokes(575),127
insufficient_keystrokes(579),127
insufficient_keystrokes(573),126
insufficient_keystrokes(580),123
insufficient_keystrokes(578),117
insufficient_keystrokes(574),116
insufficient_keystrokes(577),113
insufficient_keystrokes(566),112
insufficient_keystrokes(572),109
insufficient_keystrokes(570),102
insufficient_keystrokes(568),100
insufficient_keystrokes(564),95
insufficient_keystrokes(567),94
insufficient_keystrokes(563),93
insufficient_keystrokes(569),89
insufficient_keystrokes(565),86
insufficient_keystrokes(562),85
insufficient_keystrokes(571),84
insufficient_keystrokes(557),83
insufficient_keystrokes(559),81
insufficient_keystrokes(556),77
insufficient_keystrokes(561),73
insufficient_keystrokes(558),72
insufficient_keystrokes(551),68
insufficient_keystrokes(554),68
insufficient_keystrokes(547),66
insufficient_keystrokes(553),66
insufficient_keystrokes(560),63
insufficient_keystrokes(549),62
insufficient_keystrokes(555),61
insufficient_keystrokes(548),58
insufficient_keystrokes(546),54
insufficient_keystrokes(550),53
insufficient_keystrokes(543),51
insufficient_keystrokes(544),48
insufficient_keystrokes(552),45
insufficient_keystrokes(545),43
insufficient_keystrokes(537),39
insufficient_keystrokes(534),36
insufficient_keystrokes(540),35
insufficient_keystrokes(541),35
insufficient_keystrokes(542),35
insufficient_keystrokes(535),34
insufficient_keystrokes(538),34
insufficient_keystrokes(536),32
insufficient_keystrokes(532),31
insufficient_keystrokes(527),29
insufficient_keystrokes(530),28
insufficient_keystrokes(539),27
insufficient_keystrokes(526),26
insufficient_keystrokes(531),25
insufficient_keystrokes(528),25
insufficient_keystrokes(525),24
insufficient_sections(14),24
insufficient_keystrokes(529),24
insufficient_sections(13),23
insufficient_keystrokes(533),22
insufficient_keystrokes(523),20
insufficient_keystrokes(521),18
insufficient_keystrokes(524),18
insufficient_keystrokes(516),16
insufficient_keystrokes(515),15
insufficient_keystrokes(522),15
insufficient_keystrokes(514),14
insufficient_keystrokes(518),13
insufficient_keystrokes(520),12
insufficient_keystrokes(517),12
insufficient_keystrokes(502),11
insufficient_keystrokes(508),11
insufficient_keystrokes(513),10
insufficient_sections(12),10
insufficient_keystrokes(512),10
insufficient_keystrokes(507),10
insufficient_keystrokes(519),10
insufficient_keystrokes(505),9
insufficient_keystrokes(503),9
insufficient_keystrokes(509),9
insufficient_keystrokes(500),8
insufficient_keystrokes(510),8
insufficient_keystrokes(490),6
insufficient_keystrokes(498),6
insufficient_keystrokes(511),6
insufficient_keystrokes(501),6
