min_sections,min_keystrokes,participants,percentage_of_clean
10,500,161861,99.90124736916819
10,550,160638,99.14640694724758
10,600,154133,95.13149529999197
10,650,134361,82.92813894495158
10,700,99242,61.25255368131292
10,750,60159,37.130371988816265
10,800,30678,18.934582554113355
10,900,5955,3.6754494787712706
10,1000,1047,0.6462125280056289
12,500,161839,99.88766888242883
12,550,160624,99.1377660920498
12,600,154128,95.12840928027848
12,650,134358,82.92628733312348
12,700,99241,61.251936477370215
12,750,60159,37.130371988816265
12,800,30678,18.934582554113355
12,900,5955,3.6754494787712706
12,1000,1047,0.6462125280056289
15,500,161757,99.83705815912752
15,550,160555,99.09517902000357
15,600,154071,95.09322865554465
15,650,134325,82.90591960301442
15,700,99223,61.240826806401635
15,750,60153,37.12666876516007
15,800,30675,18.932730942285257
15,900,5955,3.6754494787712706
15,1000,1047,0.6462125280056289
