participant_id,file,rows,sections,global_key_id_decreases,within_section_key_id_decreases,press_time_decreases,release_time_decreases,sections_with_key_id_decrease,sections_with_press_time_decrease,sections_with_release_time_decrease,max_key_id_backward_jump,max_global_key_id_backward_jump,max_press_time_backward_jump,max_release_time_backward_jump,within_section_temporal_clean,press_time_temporal_clean,release_time_temporal_clean,failure
100001,100001_features.csv,658,15,11,11,0,8,9,0,7,509.0,509.0,0.0,88.0,False,True,False,
100003,100003_features.csv,806,15,16,16,0,15,9,0,8,48.0,48.0,0.0,85.0,False,True,False,
100007,100007_features.csv,801,15,1,1,0,1,1,0,1,3.0,3.0,0.0,18.0,False,True,False,
100008,100008_features.csv,687,15,12,12,0,12,10,0,10,104.0,104.0,0.0,384.0,False,True,False,
100013,100013_features.csv,744,15,12,12,0,12,10,0,10,164.0,164.0,0.0,464.0,False,True,False,
100016,100016_features.csv,776,15,7,7,0,5,6,0,4,40.0,40.0,0.0,256.0,False,True,False,
10001,10001_features.csv,763,15,15,15,0,13,8,0,8,58.0,58.0,0.0,618.0,False,True,False,
100020,100020_features.csv,649,15,7,7,0,6,7,0,6,10.0,10.0,0.0,56.0,False,True,False,
100030,100030_features.csv,654,15,3,3,0,1,3,0,1,51.0,51.0,0.0,31.0,False,True,False,
100031,100031_features.csv,545,15,2,2,0,2,2,0,2,3.0,3.0,0.0,64.0,False,True,False,
100032,100032_features.csv,924,15,10,10,0,9,9,0,9,94.0,94.0,0.0,344.0,False,True,False,
100033,100033_features.csv,829,15,9,9,0,6,7,0,5,9.0,9.0,0.0,373.0,False,True,False,
100045,100045_features.csv,738,15,12,12,0,12,10,0,10,128.0,128.0,0.0,148.0,False,True,False,
10004,10004_features.csv,769,15,3,3,0,3,2,0,2,235.0,235.0,0.0,208.0,False,True,False,
100050,100050_features.csv,756,15,14,14,0,14,9,0,9,71.0,71.0,0.0,971.0,False,True,False,
100056,100056_features.csv,760,15,6,6,0,6,5,0,5,7.0,7.0,0.0,225.0,False,True,False,
100059,100059_features.csv,968,15,5,5,0,5,2,0,2,81.0,81.0,0.0,128.0,False,True,False,
100060,100060_features.csv,795,15,7,7,0,5,4,0,3,24.0,24.0,0.0,35.0,False,True,False,
100068,100068_features.csv,721,15,3,3,0,3,3,0,2,9.0,9.0,0.0,352.0,False,True,False,
100072,100072_features.csv,752,15,10,10,0,9,8,0,7,50.0,50.0,0.0,385.0,False,True,False,
100076,100076_features.csv,610,15,7,7,0,7,7,0,7,31.0,31.0,0.0,328.0,False,True,False,
100077,100077_features.csv,737,15,3,3,0,1,3,0,1,13.0,13.0,0.0,32.0,False,True,False,
100081,100081_features.csv,847,15,25,25,0,12,12,0,8,261.0,261.0,0.0,617.0,False,True,False,
100084,100084_features.csv,892,15,15,15,0,12,10,0,9,101.0,101.0,0.0,81.0,False,True,False,
100085,100085_features.csv,723,15,15,15,0,12,8,0,8,58.0,58.0,0.0,766.0,False,True,False,
100088,100088_features.csv,782,15,4,4,0,4,4,0,4,110.0,110.0,0.0,56.0,False,True,False,
100091,100091_features.csv,648,15,5,5,0,4,4,0,3,53.0,53.0,0.0,15.0,False,True,False,
100094,100094_features.csv,725,15,8,8,0,6,6,0,6,144.0,144.0,0.0,529.0,False,True,False,
